2026 មករា 22 | 10:37:39 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 10:40:39 ព្រឹក | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
2026 មករា 22 | 10:48:02 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 10:55:13 ព្រឹក | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
2026 មករា 22 | 11:02:06 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 11:02:53 ព្រឹក | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
2026 មករា 22 | 11:04:38 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 11:05:46 ព្រឹក | Status: 🔻ចុះ | Price: 7,260 | Change: 60 | ChangePercent: 0.82
2026 មករា 22 | 11:09:23 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 11:27:17 ព្រឹក | Status: 🔻ចុះ | Price: 7,260 | Change: 60 | ChangePercent: 0.82
2026 មករា 22 | 11:38:14 ព្រឹក | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 11:43:20 ព្រឹក | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
2026 មករា 22 | 01:45:33 ល្ងាច | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 01:46:04 ល្ងាច | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
2026 មករា 22 | 01:47:47 ល្ងាច | Status: 🔻ចុះ | Price: 7,280 | Change: 40 | ChangePercent: 0.55
2026 មករា 22 | 01:49:21 ល្ងាច | Status: 🔻ចុះ | Price: 7,300 | Change: 20 | ChangePercent: 0.27
